campaña,numero_conversiones,numero_clicks,ratio_conversion
camp=732187328,1,2122,0.0471253534401508
camp=1646697023,1,106,0.9433962264150944
camp=1648648995,1,1081,0.09250693802035154
camp=1648174978,1,13,7.6923076923076925
camp=13352855428,1,92,1.0869565217391304
camp=1724235562,1,22,4.545454545454546
camp=13352768128,1,37,2.7027027027027026
camp=732401028,1,250,0.4
camp=1648646316,1,231,0.4329004329004329
camp=1725352245,1,65,1.5384615384615385
camp=1042446156,1,119,0.8403361344537815
camp=1646744098,1,60,1.6666666666666667
camp=12758678095,1,48,2.083333333333333
camp=1439144636,1,66,1.5151515151515151
camp=1783520608,1,29,3.4482758620689653
camp=1054206170,1,17,5.88235294117647
camp=1648181896,1,63,1.5873015873015872
camp=11378120103,1,11,9.090909090909092
camp=1704160543,1,2,50.0
camp=1647220734,1,1,100.0
camp=1690173969,1,21,4.761904761904762
camp=1648649016,1,105,0.9523809523809524
camp=732401169,1,18,5.555555555555555
camp=732187355,1,249,0.4016064257028112
camp=10584328482,1,1,100.0
camp=1685819696,1,27,3.7037037037037033
camp=13352768134,1,20,5.0
camp=1042446162,1,17,5.88235294117647
camp=1439144774,1,30,3.3333333333333335
camp=1685819708,1,26,3.8461538461538463
camp=12758678107,1,6,16.666666666666664
camp=1647220776,1,39,2.564102564102564
camp=1691163013,1,36,2.7777777777777777
camp=1691163022,1,1,100.0
camp=1042446138,1,4,25.0
camp=13352855434,1,32,3.125
camp=10584328479,1,24,4.166666666666666
camp=1646744086,1,12,8.333333333333332
camp=1646697566,1,100,1.0
camp=1648650846,1,21,4.761904761904762
camp=1725306945,1,19,5.263157894736842
camp=1648140644,1,3,33.33333333333333
camp=6513709873,1,2,50.0
camp=1646697020,1,12,8.333333333333332
camp=1648140392,1,15,6.666666666666667
camp=1648140227,1,16,6.25
camp=732187349,1,95,1.0526315789473684
camp=1685819702,1,44,2.272727272727273
camp=1724638222,1,21,4.761904761904762
camp=1647220698,1,16,6.25
camp=732401031,1,5,20.0
camp=1648140647,1,8,12.5
camp=1486016055,1,30,3.3333333333333335
camp=283493008,1,1,100.0
camp=2083803500,1,24,4.166666666666666
camp=1648181434,1,21,4.761904761904762
camp=283493062,1,2,50.0
camp=283493065,1,1,100.0
camp=1646744065,1,4,25.0
camp=13352768122,1,3,33.33333333333333
camp=1439144633,1,3,33.33333333333333
camp=1703727077,1,4,25.0
camp=12119304874,1,7,14.285714285714285
camp=283493039,1,1,100.0
camp=283493068,1,3,33.33333333333333
camp=283493045,1,1,100.0
camp=11378120115,1,6,16.666666666666664
camp=283167522,1,5,20.0
camp=283493060,1,1,100.0
camp=2064923258,1,2,50.0
camp=1648140362,1,2,50.0
camp=283493077,1,1,100.0
camp=1704861252,1,7,14.285714285714285
camp=1648181437,1,10,10.0
camp=13352855422,1,1,100.0
camp=12119304880,1,3,33.33333333333333
camp=1685819699,1,2,50.0
camp=1647220728,1,1,100.0
camp=1704160546,1,3,33.33333333333333
camp=1704143893,1,4,25.0
camp=1439144771,1,4,25.0
camp=1648181440,1,2,50.0
camp=283167502,1,3,33.33333333333333
camp=732187340,1,3,33.33333333333333
camp=6513709333,1,2,50.0
camp=1647220554,1,1,100.0
camp=1647220551,1,1,100.0
camp=283372265,1,1,100.0
camp=283493059,1,1,100.0
camp=9826105904,1,1,100.0
camp=283492960,1,1,100.0
camp=13352855425,1,2,50.0
camp=1690173972,1,1,100.0
camp=1690173978,1,1,100.0
camp=13352768125,1,1,100.0
camp=1439144630,1,1,100.0
camp=1439144639,1,1,100.0
camp=13461666926,1,1,100.0
camp=283493082,1,1,100.0
camp=1690173975,1,1,100.0
