metrica, valor1, valor2
media_call_center, 23:29:00, 1409.0
media_call_center_positivo, 28:41:00, 1721.0
media_call_center_noleinteresa, 58:38:00, 3518.0
media_call_center_ilocalizable, 03:08:00, 188.33
media_ratio_campana, 0.3816888179265104, -
camp=1648174978, 0.07692307692307693 , -
camp=1042446156, 0.008403361344537815 , -
camp=13352768134, 0.05 , -
camp=732187328, 0.001885014137606032 , -
camp=732401031, 0.2 , -
camp=732401028, 0.012 , -
camp=1646744098, 0.016666666666666666 , -
camp=732187355, 0.004016064257028112 , -
camp=1648648995, 0.0009250693802035153 , -
camp=13352855428, 0.010869565217391304 , -
media_ratio_adgroup, 0.47719938514674987, -
adg=62589482065, 0.1111111111111111 , -
adg=63912889335, 0.008403361344537815 , -
adg=118216881250, 0.1111111111111111 , -
adg=46724581628, 0.0020964360587002098 , -
adg=46724585508, 0.2 , -
adg=46724585188, 0.012 , -
adg=58527617970, 0.016666666666666666 , -
adg=46724587148, 0.004016064257028112 , -
adg=62589383945, 0.0009250693802035153 , -
adg=126733863807, 0.010869565217391304 , -
media_ratio_sitelink, 0.04463465479471415, -
sl=*vacío*, 0.002967988128047488 , -
sl=43115966789, 0.041666666666666664 , -
media_ratio_adv, 0.8711688578755147, -
adv=494939238432, 0.1111111111111111 , -
adv=528158594826, 0.009009009009009009 , -
adv=525403074131, 0.1111111111111111 , -
adv=533655604703, 0.002233389168062535 , -
adv=383441982861, 0.25 , -
adv=477211734920, 0.024 , -
adv=497204330125, 0.3333333333333333 , -
adv=499223878287, 0.004132231404958678 , -
adv=481025151787, 0.0018484288354898336 , -
adv=525407334167, 0.024390243902439025 , -
media_ratio_marca, 0.0400777671691044 , -
cea, 0.0037593984962406013 , -
dep30, 0.006493506493506494 , -
clin200, 0.005208333333333333 , -
clin400, 0.014035087719298246 , -
cea-electrico, 0.00819672131147541 , -
tria, 0.0008764241893076249 , -

