Column1,Cardio,Resp,Hypo,Adm,year,month,mes_año,n_transferidos,ratio,ratio_cardio,ratio_resp,ratio_hypo,n_transferencias_año
1,1,0,0,413,1999,11,1999-11,1,0.002421307506053269,0.002421307506053269,0.0,0.0,2.0
2,1,0,0,443,1999,12,1999-12,1,0.002257336343115124,0.002257336343115124,0.0,0.0,
3,1,0,0,378,2000,1,2000-1,1,0.0026455026455026454,0.0026455026455026454,0.0,0.0,12.0
4,0,0,0,385,2000,2,2000-2,0,0.0,0.0,0.0,0.0,
5,1,0,0,388,2000,3,2000-3,1,0.002577319587628866,0.002577319587628866,0.0,0.0,
6,0,0,0,406,2000,4,2000-4,0,0.0,0.0,0.0,0.0,
7,3,0,0,409,2000,5,2000-5,3,0.007334963325183374,0.007334963325183374,0.0,0.0,
8,0,1,0,425,2000,6,2000-6,1,0.002352941176470588,0.0,0.002352941176470588,0.0,
9,0,1,0,453,2000,7,2000-7,1,0.002207505518763797,0.0,0.002207505518763797,0.0,
10,1,0,0,411,2000,8,2000-8,1,0.0024330900243309003,0.0024330900243309003,0.0,0.0,
11,1,0,1,407,2000,9,2000-9,2,0.004914004914004914,0.002457002457002457,0.0,0.002457002457002457,
12,0,0,0,417,2000,10,2000-10,0,0.0,0.0,0.0,0.0,
13,1,0,0,422,2000,11,2000-11,1,0.002369668246445498,0.002369668246445498,0.0,0.0,
14,1,0,0,426,2000,12,2000-12,1,0.002347417840375587,0.002347417840375587,0.0,0.0,
15,0,0,0,427,2001,1,2001-1,0,0.0,0.0,0.0,0.0,11.0
16,0,0,0,410,2001,2,2001-2,0,0.0,0.0,0.0,0.0,
17,1,0,0,450,2001,3,2001-3,1,0.0022222222222222222,0.0022222222222222222,0.0,0.0,
18,2,0,1,449,2001,4,2001-4,3,0.0066815144766146995,0.004454342984409799,0.0,0.0022271714922048997,
19,0,0,0,438,2001,5,2001-5,0,0.0,0.0,0.0,0.0,
20,0,0,0,446,2001,6,2001-6,0,0.0,0.0,0.0,0.0,
21,1,0,1,460,2001,7,2001-7,2,0.004347826086956522,0.002173913043478261,0.0,0.002173913043478261,
22,0,0,1,437,2001,8,2001-8,1,0.002288329519450801,0.0,0.0,0.002288329519450801,
23,0,0,0,475,2001,9,2001-9,0,0.0,0.0,0.0,0.0,
24,1,0,0,464,2001,10,2001-10,1,0.0021551724137931034,0.0021551724137931034,0.0,0.0,
25,1,1,0,467,2001,11,2001-11,2,0.004282655246252677,0.0021413276231263384,0.0021413276231263384,0.0,
26,0,1,0,499,2001,12,2001-12,1,0.002004008016032064,0.0,0.002004008016032064,0.0,
27,0,0,0,459,2002,1,2002-1,0,0.0,0.0,0.0,0.0,19.0
28,1,0,0,461,2002,2,2002-2,1,0.0021691973969631237,0.0021691973969631237,0.0,0.0,
29,1,0,0,488,2002,3,2002-3,1,0.0020491803278688526,0.0020491803278688526,0.0,0.0,
30,2,0,0,486,2002,4,2002-4,2,0.00411522633744856,0.00411522633744856,0.0,0.0,
31,2,0,0,515,2002,5,2002-5,2,0.003883495145631068,0.003883495145631068,0.0,0.0,
32,0,0,0,457,2002,6,2002-6,0,0.0,0.0,0.0,0.0,
33,0,1,0,558,2002,7,2002-7,1,0.0017921146953405018,0.0,0.0017921146953405018,0.0,
34,3,0,0,519,2002,8,2002-8,3,0.005780346820809248,0.005780346820809248,0.0,0.0,
35,2,0,0,509,2002,9,2002-9,2,0.003929273084479371,0.003929273084479371,0.0,0.0,
36,0,0,0,519,2002,10,2002-10,0,0.0,0.0,0.0,0.0,
37,2,1,0,544,2002,11,2002-11,3,0.0055147058823529415,0.003676470588235294,0.001838235294117647,0.0,
38,2,1,1,532,2002,12,2002-12,4,0.007518796992481203,0.0037593984962406013,0.0018796992481203006,0.0018796992481203006,
39,0,0,0,509,2003,1,2003-1,0,0.0,0.0,0.0,0.0,19.0
40,2,1,0,532,2003,2,2003-2,3,0.005639097744360902,0.0037593984962406013,0.0018796992481203006,0.0,
41,1,0,1,598,2003,3,2003-3,2,0.0033444816053511705,0.0016722408026755853,0.0,0.0016722408026755853,
42,1,0,0,495,2003,4,2003-4,1,0.00202020202020202,0.00202020202020202,0.0,0.0,
43,0,1,0,543,2003,5,2003-5,1,0.001841620626151013,0.0,0.001841620626151013,0.0,
44,0,0,0,555,2003,6,2003-6,0,0.0,0.0,0.0,0.0,
45,1,0,0,553,2003,7,2003-7,1,0.0018083182640144665,0.0018083182640144665,0.0,0.0,
46,3,1,0,532,2003,8,2003-8,4,0.007518796992481203,0.005639097744360902,0.0018796992481203006,0.0,
47,1,0,0,579,2003,9,2003-9,1,0.0017271157167530224,0.0017271157167530224,0.0,0.0,
48,2,0,0,633,2003,10,2003-10,2,0.00315955766192733,0.00315955766192733,0.0,0.0,
49,0,0,0,622,2003,11,2003-11,0,0.0,0.0,0.0,0.0,
50,0,4,0,644,2003,12,2003-12,4,0.006211180124223602,0.0,0.006211180124223602,0.0,
51,1,2,0,624,2004,1,2004-1,3,0.004807692307692308,0.0016025641025641025,0.003205128205128205,0.0,19.0
52,3,2,1,553,2004,2,2004-2,6,0.0108499095840868,0.0054249547920434,0.003616636528028933,0.0018083182640144665,
53,1,0,0,628,2004,3,2004-3,1,0.0015923566878980893,0.0015923566878980893,0.0,0.0,
